100
5
94	65	51	32	15	
17	67	20	11	53	
1	55	55	34	87	
97	35	55	47	5	
91	19	15	33	21	
9	18	46	7	32	
75	35	15	18	53	
38	39	60	69	27	
34	89	40	95	14	
17	57	67	95	29	
7	79	46	71	30	
62	5	29	27	76	
16	33	14	24	58	
61	46	35	32	28	
31	47	81	1	29	
58	46	8	42	43	
14	99	55	82	25	
29	39	55	95	35	
29	7	1	90	83	
31	15	62	28	22	
52	56	97	36	3	
36	32	93	6	10	
85	62	58	83	73	
68	50	46	17	47	
63	99	92	30	87	
21	89	62	96	50	
15	30	58	32	74	
50	24	1	3	7	
55	23	18	64	89	
73	44	14	67	89	
87	83	74	7	72	
90	13	29	92	9	
41	83	85	50	34	
80	73	95	90	7	
5	34	11	40	32	
18	89	30	96	82	
68	18	73	96	77	
94	32	24	18	64	
51	90	83	92	13	
29	73	15	29	55	
12	28	77	85	81	
69	18	63	39	55	
54	81	43	75	37	
99	31	40	61	43	
1	2	98	10	99	
82	3	17	99	39	
99	78	89	21	25	
87	99	18	85	17	
61	71	54	54	13	
24	8	33	33	65	
54	88	66	52	60	
7	76	97	96	70	
77	33	61	64	22	
78	66	51	22	62	
86	3	2	2	37	
83	31	51	85	95	
65	8	72	49	87	
77	63	33	82	18	
98	53	46	91	31	
33	89	83	13	75	
92	63	17	62	23	
15	49	16	56	48	
59	60	93	63	18	
22	53	63	53	5	
79	70	39	88	63	
44	9	55	95	1	
99	16	28	71	25	
19	79	78	75	6	
32	93	68	21	29	
81	69	76	18	27	
57	4	48	59	10	
53	95	64	17	29	
48	87	87	11	53	
97	49	26	80	87	
3	79	14	51	39	
70	14	48	31	46	
21	4	78	77	18	
51	20	82	84	44	
14	10	33	20	24	
41	28	22	16	86	
91	4	45	19	65	
75	91	49	16	45	
35	63	90	73	52	
54	66	82	12	95	
9	25	73	97	22	
25	12	70	92	97	
27	36	95	65	71	
97	94	99	52	31	
20	19	64	22	46	
20	49	97	62	54	
23	19	73	26	59	
46	18	44	41	90	
76	18	68	56	72	
34	53	88	32	65	
86	49	21	54	84	
30	29	58	60	20	
99	42	25	85	17	
9	59	1	66	51	
91	48	27	10	57	
81	3	15	37	72	
