500
40
65	97	23	61	42	85	53	69	52	44	42	10	10	63	86	78	68	76	34	27	73	7	1	54	30	19	64	49	41	98	69	43	90	53	65	53	63	2	45	10	
22	85	68	17	12	41	76	79	34	92	42	98	13	68	14	17	67	50	31	62	36	2	38	35	34	43	12	22	37	57	86	35	14	59	44	22	62	51	87	75	
11	56	36	52	3	90	98	76	61	22	11	86	12	40	55	51	6	5	83	59	72	75	25	71	6	30	41	70	27	16	62	64	29	2	26	22	55	31	79	39	
81	74	39	82	15	43	14	43	3	20	30	93	40	98	9	55	10	63	6	91	88	25	94	3	6	9	49	76	49	67	82	20	37	42	27	97	11	14	59	22	
15	16	23	84	75	88	90	29	82	14	65	97	40	40	30	5	49	2	66	17	27	97	34	40	77	54	61	57	73	23	86	55	18	64	65	23	75	30	22	43	
15	35	21	80	90	93	64	41	57	52	68	76	94	40	62	30	88	38	9	74	95	13	43	68	78	85	83	36	6	24	58	59	40	76	48	20	64	88	46	43	
13	75	69	22	22	33	98	28	98	13	10	41	82	95	29	45	52	41	32	79	92	95	54	41	29	79	5	73	96	95	76	96	93	32	14	52	44	36	72	79	
73	94	81	34	52	54	94	28	82	41	91	46	27	89	68	65	92	83	19	85	39	59	6	47	60	28	68	1	58	26	19	37	16	95	19	12	38	41	42	14	
4	37	69	58	64	68	59	14	79	24	99	81	57	91	38	98	68	16	31	32	27	6	72	63	72	22	92	17	86	80	26	61	37	31	99	73	25	18	87	75	
78	28	31	68	31	76	28	12	58	91	22	43	77	91	68	27	24	75	50	74	60	65	51	84	94	65	41	79	91	42	14	50	16	21	74	38	52	67	80	5	
61	98	89	64	99	26	46	4	92	54	15	91	34	59	74	56	76	32	82	98	12	66	5	42	59	24	65	65	28	88	55	54	97	23	11	61	49	68	43	79	
40	50	88	58	96	96	5	8	72	63	37	85	96	38	23	65	15	50	19	6	81	35	60	94	76	98	86	28	43	99	2	47	66	51	48	48	51	82	3	26	
61	43	44	30	23	21	36	42	25	12	25	99	46	70	56	18	94	3	44	93	64	22	65	6	11	41	47	18	17	91	79	57	10	94	70	49	30	2	13	1	
75	15	51	69	72	30	57	73	41	60	40	22	61	54	75	65	51	97	15	5	24	69	97	6	75	90	9	98	22	86	22	79	88	60	41	20	24	19	26	70	
91	39	55	5	42	39	80	39	5	95	59	31	18	30	73	33	5	46	79	64	65	4	36	22	25	43	14	39	78	13	78	73	11	53	96	72	84	40	26	53	
28	4	63	2	58	60	72	58	31	24	29	64	93	98	29	80	86	57	67	98	27	59	81	6	53	62	99	83	26	37	61	38	16	86	86	4	20	16	13	58	
78	31	29	50	2	39	72	17	13	89	73	51	76	72	54	49	63	70	26	31	69	34	37	33	4	3	66	6	89	23	64	69	61	19	80	7	50	14	46	98	
83	21	83	33	45	39	67	42	72	29	61	42	82	53	5	86	64	10	16	63	69	79	47	84	80	86	8	52	63	30	25	2	16	30	23	64	68	17	42	81	
2	32	23	73	95	39	18	51	11	56	24	10	75	51	35	53	27	76	65	35	29	16	89	11	67	90	93	47	92	33	51	23	63	21	49	19	5	53	32	92	
94	87	56	65	37	76	51	85	81	76	31	39	98	21	20	17	34	70	77	65	81	84	22	77	56	81	8	2	68	81	4	79	7	47	57	30	99	62	72	46	
14	20	10	80	90	13	99	21	51	33	29	88	10	39	29	16	69	44	93	79	11	26	90	91	76	69	45	88	20	86	25	60	80	87	35	7	83	82	12	28	
93	38	80	65	68	35	1	66	80	87	27	41	19	13	52	14	72	85	17	8	70	97	88	9	30	2	66	1	22	38	42	55	74	39	42	30	60	81	17	15	
56	31	54	11	43	85	51	42	3	24	43	37	37	14	93	33	99	33	86	75	16	10	78	24	45	86	98	97	6	56	9	5	53	44	49	43	1	10	49	76	
15	7	74	10	22	25	22	30	13	96	9	78	35	49	8	66	97	24	14	69	35	9	59	38	16	38	12	27	70	71	12	27	94	51	36	40	37	89	7	55	
85	51	72	88	19	25	22	21	63	93	25	25	96	58	3	73	77	71	70	83	96	75	4	12	66	70	29	28	12	37	34	21	21	4	42	20	66	29	13	33	
