100
5
3	3	3	3	3	
62	87	76	19	35	
20	95	45	79	40	
92	45	98	35	87	
15	56	70	32	26	
50	5	30	29	78	
39	22	48	75	14	
86	82	50	64	5	
46	88	39	97	54	
62	24	33	76	52	
50	2	18	13	81	
31	45	15	76	83	
57	58	48	41	96	
98	47	70	66	54	
10	95	35	31	42	
26	18	72	78	63	
27	71	53	76	28	
37	4	36	93	83	
41	67	73	80	47	
87	41	98	2	55	
15	53	67	23	42	
55	67	86	70	55	
13	72	37	14	57	
85	6	71	13	59	
94	12	76	82	13	
43	22	54	84	55	
85	19	71	23	48	
73	4	31	35	73	
69	17	65	39	70	
68	30	60	24	61	
82	69	86	42	60	
4	77	85	10	99	
33	14	3	16	70	
94	2	14	65	83	
82	74	37	39	89	
78	46	38	12	45	
13	62	30	23	72	
16	33	30	62	45	
96	19	21	35	40	
56	14	50	68	76	
67	16	95	41	79	
8	32	47	52	82	
57	39	74	65	86	
70	84	80	43	54	
61	71	51	20	86	
63	53	2	99	34	
64	96	69	35	77	
96	67	89	43	65	
84	85	77	80	87	
58	44	56	49	70	
72	34	7	15	15	
95	64	75	54	16	
54	31	48	18	19	
60	70	39	87	90	
4	94	37	78	70	
76	94	71	32	29	
20	97	53	29	62	
30	89	54	21	82	
32	92	35	28	11	
53	38	59	62	28	
87	6	68	58	66	
77	96	29	45	39	
2	93	43	25	96	
57	77	19	56	88	
71	16	19	6	58	
11	60	10	67	17	
38	35	10	5	41	
14	29	94	63	85	
33	61	10	81	80	
39	50	10	31	54	
76	20	4	73	56	
72	86	62	1	55	
18	87	61	28	2	
66	83	38	84	82	
28	82	56	71	55	
10	6	38	26	19	
61	50	78	14	41	
19	32	36	49	69	
28	67	94	8	67	
46	99	81	80	14	
55	13	26	48	27	
93	63	32	18	46	
66	49	37	81	94	
67	9	48	87	82	
35	48	89	15	55	
61	88	49	4	10	
11	25	57	12	64	
49	24	31	87	47	
55	1	18	3	3	
78	30	13	13	1	
37	52	93	97	79	
8	23	11	93	65	
5	15	28	9	36	
42	91	26	18	45	
43	78	61	41	28	
35	30	87	13	76	
31	75	36	4	72	
59	31	60	32	56	
26	14	37	22	42	
40	72	10	66	61	
86	5	95	67	57	
