15
15
48	47	67	13	12	91	45	7	72	83	81	81	49	57	78	
39	31	56	31	51	74	55	87	44	99	63	40	68	64	60	
26	48	7	40	98	21	43	16	55	27	16	41	98	86	11	
23	43	98	64	1	78	45	3	13	15	89	59	40	17	58	
21	93	5	31	59	85	35	63	73	18	41	55	13	49	56	
97	40	54	89	60	14	26	7	11	17	75	71	79	36	8	
89	28	58	19	34	40	76	1	95	65	39	70	68	26	68	
97	65	70	5	26	76	11	89	42	41	40	85	68	30	73	
6	31	66	9	95	31	45	20	81	71	99	42	23	70	97	
38	35	73	85	66	61	26	13	84	30	44	89	42	50	90	
57	8	23	87	46	83	32	28	13	12	69	55	26	28	69	
38	2	46	32	53	99	99	70	58	34	37	7	7	93	18	
44	8	41	63	68	33	4	16	25	49	42	13	89	28	55	
74	93	92	68	92	23	22	44	55	81	87	18	78	15	55	
57	36	55	60	99	13	79	61	39	33	80	24	87	6	58	
