15
15
8	6	61	32	45	83	9	24	26	43	99	4	11	97	33	
42	57	74	53	22	55	1	38	92	54	61	25	14	70	62	
29	11	5	85	79	17	84	74	30	95	45	30	9	65	38	
52	16	37	95	79	11	61	89	95	78	55	56	12	95	12	
42	2	28	14	84	21	13	10	74	76	8	82	35	7	1	
63	4	93	93	46	82	52	22	46	6	22	30	43	9	72	
13	16	84	37	39	85	99	94	66	61	94	2	18	69	62	
57	1	78	51	55	85	81	90	32	64	56	39	59	72	64	
81	86	59	11	83	23	73	99	39	22	43	18	94	40	33	
85	75	10	70	92	25	72	75	66	2	43	4	97	63	72	
46	51	50	5	97	78	60	74	89	12	62	12	59	33	79	
60	75	31	57	20	5	22	7	61	20	20	24	60	44	34	
11	3	62	50	38	47	35	96	34	39	90	80	91	95	38	
14	90	27	84	35	75	99	93	98	21	58	53	83	37	29	
88	13	77	41	51	36	88	14	10	96	67	33	52	30	46	
