30	
20
161	149	29	36	90	157	53	27	188	132	154	33	200	191	86	57	107	30	47	18
191	14	88	49	92	132	116	71	16	45	161	9	110	72	29	28	117	68	162	32
141	113	123	4	144	145	13	147	196	92	7	80	30	12	47	146	65	175	65	193
40	184	152	3	65	127	137	51	177	135	181	65	62	35	55	110	97	150	132	36
128	57	84	82	6	78	38	109	57	90	62	36	27	76	57	2	183	80	14	2
126	118	179	107	82	117	2	27	147	152	114	163	14	88	41	69	140	39	193	87
160	125	77	185	124	198	116	38	125	160	76	74	160	129	163	1	174	183	144	134
18	20	35	66	22	178	90	94	156	172	129	26	104	120	37	3	154	56	149	143
135	200	158	39	35	145	178	80	173	156	125	48	120	77	51	187	189	172	93	129
52	20	161	34	36	182	85	59	55	125	56	33	73	60	160	164	127	164	21	1
179	4	136	126	16	165	180	103	31	80	164	72	182	163	26	1	108	104	4	92
175	185	123	64	27	40	138	36	52	189	176	186	141	102	107	9	26	17	181	80
86	133	24	55	117	108	5	4	157	3	91	58	22	192	87	64	178	81	120	94
28	84	19	168	124	1	14	146	63	46	151	180	97	111	43	70	148	93	195	24
153	52	179	167	171	111	37	64	24	35	167	47	62	66	142	67	151	162	86	99
78	108	63	121	58	123	118	5	168	9	175	123	1	72	8	148	194	7	164	166
123	123	47	101	107	68	56	13	125	83	32	33	97	36	110	157	75	53	110	128
180	4	127	175	183	113	88	52	87	190	26	64	117	26	50	183	50	85	181	163
103	30	26	19	151	126	111	138	194	166	14	99	107	87	125	195	67	122	44	115
189	72	66	34	10	44	149	36	93	52	34	15	123	118	158	27	64	30	79	47
181	192	132	162	104	35	53	60	183	184	197	160	67	5	122	169	167	136	139	23
137	99	155	170	87	39	56	193	92	19	81	177	187	193	181	129	198	1	145	145
42	66	53	55	120	96	96	15	38	35	166	53	79	79	129	111	183	178	60	35
93	76	9	120	134	178	109	70	76	10	6	171	196	71	73	143	25	29	183	98
120	141	11	163	87	135	47	56	18	58	164	191	8	183	109	98	65	17	99	55
44	146	168	43	34	39	58	60	71	5	13	77	30	174	99	193	72	116	12	112
97	158	75	197	80	151	7	42	25	96	45	125	81	45	170	137	95	80	166	26
67	47	7	115	73	29	185	62	119	132	127	26	38	124	138	30	6	139	5	25
5	160	191	173	160	153	199	33	33	199	119	136	195	59	36	112	116	21	93	29
7	78	156	129	172	33	62	148	86	168	89	109	134	50	3	52	70	91	105	158
6	9	1	2	5	4	10	3	7	8	14	20	16	19	12	15	18	13	11	17
1	8	4	7	6	10	3	5	2	9	17	11	12	14	13	19	15	16	18	20
10	1	5	9	7	2	4	6	3	8	20	15	12	16	11	13	18	14	19	17
6	5	2	1	8	7	3	4	10	9	18	11	19	14	16	13	20	15	17	12
9	1	4	2	6	5	10	7	8	3	19	14	13	20	18	15	12	11	16	17
6	9	8	1	2	7	5	3	4	10	18	15	17	20	19	14	12	16	11	13
1	5	3	10	4	8	7	9	6	2	14	15	11	20	17	16	19	18	13	12
8	3	2	4	5	10	1	7	6	9	17	18	15	13	14	16	11	20	12	19
9	7	4	6	10	8	2	5	3	1	17	16	11	19	18	15	13	14	20	12
8	6	9	7	10	5	4	1	2	3	20	17	15	16	13	14	18	11	19	12
3	10	8	7	2	4	1	9	5	6	11	17	14	12	18	16	20	19	15	13
3	8	6	1	2	4	5	10	7	9	11	14	18	16	17	13	20	19	12	15
1	3	5	10	8	9	2	7	4	6	15	20	11	14	17	19	18	16	12	13
10	4	9	1	7	3	8	2	6	5	15	13	17	20	11	16	18	19	12	14
9	1	2	10	8	5	6	7	3	4	18	13	17	15	11	19	16	20	14	12
8	2	1	4	5	10	7	3	6	9	15	14	19	20	11	16	18	17	12	13
9	8	2	7	4	5	1	6	10	3	19	11	18	15	13	20	16	12	17	14
6	7	9	2	1	3	10	5	4	8	13	18	17	11	19	16	20	14	15	12
2	10	5	4	6	7	9	1	3	8	19	17	15	16	20	14	18	13	11	12
9	10	6	4	8	2	7	1	3	5	18	12	17	14	13	19	20	11	16	15
1	3	10	5	6	2	4	9	7	8	14	13	20	19	15	18	11	12	17	16
10	7	5	6	1	8	2	3	4	9	16	17	11	12	20	14	15	19	13	18
6	4	5	7	10	2	9	8	3	1	19	15	13	14	20	12	18	16	17	11
4	3	5	7	9	1	2	8	10	6	15	19	16	17	18	13	14	12	11	20
7	3	6	5	2	1	9	10	8	4	15	17	16	20	18	11	19	13	14	12
3	4	6	9	7	8	1	10	5	2	16	20	13	14	19	15	12	11	18	17
5	9	6	8	3	4	10	7	1	2	13	20	12	17	16	15	14	11	19	18
8	9	2	5	1	3	7	4	6	10	13	17	16	12	20	19	11	15	18	14
6	3	2	1	9	5	7	8	4	10	11	13	17	14	15	19	20	18	12	16
1	5	4	2	6	9	10	8	7	3	11	16	19	15	14	13	12	17	18	20
