250
50
9367	8172	8376	9192	9544	10365	7759	9655	8466	10059	8065	8891	8769	9811	7736	8732	9197	8268	8674	9556	7789	9064	10352	8783	9376	8715	8410	9614	8274	9464	8512	8797	9020	9514	9241	8982	8904	8986	8912	7730	9704	9902	9828	10252	8235	10507	9489	10347	10299	10241	8539	9419	10043	8969	8228	10441	8225	9152	10453	9607	9842	9143	9881	9216	9260	9975	7942	9137	8210	10135	9305	8011	9404	9172	7820	9550	8334	8324	9203	8818	9629	9240	7746	10138	9949	9618	8409	10426	8767	10537	10070	10266	8780	8443	9360	9319	7996	9372	9259	10365	10630	9498	8284	8361	8671	8455	7640	8549	8396	10176	7614	8959	9588	9287	7771	8073	10222	10526	8077	7959	9756	7782	8798	8250	9288	8219	7802	8431	10599	8329	9847	9242	7783	8894	8471	7834	8469	7627	8284	9445	9889	9338	10255	9168	7874	9126	8049	7618	8113	8211	7694	9526	9803	10286	7649	9767	8581	7853	7817	8588	8612	8275	10397	10374	10155	10187	9688	9709	9618	8890	8222	8777	10338	9777	9213	10553	9642	8313	9010	9029	10613	8362	7958	7600	10418	8495	10157	9292	9054	8295	7695	8449	10161	8408	9561	8150	10601	9206	8950	9334	9756	7653	8445	9595	9404	7906	10497	7806	9262	10250	9044	8432	10129	10636	9807	8004	9927	10383	10208	7806	9159	9022	10521	9383	9546	8735	10027	8032	8677	7912	9593	9324	9418	7735	9420	9294	8889	7786	9710	10493	8567	10025	10578	9980	8804	8652	8333	8626	9555	8009	
93	19	76	56	42	38	97	59	69	16	1	45	79	10	9	58	54	25	13	81	29	79	54	57	58	75	24	11	67	64	26	61	58	9	35	56	13	86	51	59	1	88	49	91	99	4	40	95	79	5	
21	71	13	50	75	8	100	95	33	16	31	72	29	16	28	61	100	55	28	85	12	60	10	96	14	24	66	25	55	10	80	24	13	17	65	16	20	20	53	37	83	3	64	33	40	41	88	41	90	89	
49	80	97	94	43	12	48	42	72	69	25	93	4	49	12	73	46	12	48	30	100	49	7	67	31	7	47	12	95	69	84	81	83	44	58	58	69	10	12	88	4	10	3	51	66	100	99	82	61	98	
53	41	42	82	43	42	90	29	20	14	75	13	15	44	81	77	79	12	74	68	74	39	44	96	26	2	54	46	14	78	58	62	61	21	3	87	40	2	97	14	13	52	25	94	77	81	42	5	79	79	
67	62	9	14	72	55	12	82	23	9	52	81	34	19	31	100	25	18	51	59	3	51	60	39	11	86	20	82	9	79	6	48	76	72	3	69	58	89	65	38	1	63	68	3	30	10	53	75	73	30	
40	65	53	6	80	7	72	11	54	27	70	80	45	70	49	79	46	2	73	78	68	32	87	32	76	43	30	1	52	3	30	81	78	11	89	21	74	100	14	47	44	87	59	13	10	64	57	65	39	46	
79	78	90	40	46	94	45	89	67	87	86	9	1	27	43	26	46	17	27	74	16	20	15	18	54	10	51	8	87	15	88	78	36	22	82	53	18	76	4	21	18	88	45	80	9	29	21	80	57	89	
6	3	26	9	48	69	80	30	48	47	50	13	9	9	98	18	76	73	11	58	37	3	3	51	50	67	100	48	6	80	48	9	60	73	62	45	83	76	7	58	17	89	76	47	24	92	14	53	88	21	
4	71	90	94	90	50	59	87	38	47	100	73	42	27	21	84	15	9	19	64	49	6	3	8	14	5	65	19	30	88	18	27	46	99	62	36	92	85	58	17	10	90	13	45	56	67	6	50	41	36	
9	48	66	13	87	39	35	78	70	21	86	63	48	38	55	74	15	66	67	83	71	3	20	44	63	21	3	33	12	1	72	11	69	31	64	44	81	84	31	57	86	66	17	93	42	16	23	85	64	4	
18	97	49	51	95	76	74	66	91	3	21	77	7	69	68	7	95	89	32	7	12	37	67	65	55	70	47	33	9	67	85	65	92	7	81	34	81	54	80	83	25	32	95	36	16	100	35	56	53	68	
16	37	10	11	74	63	25	62	93	80	42	9	11	49	85	19	86	87	44	51	22	13	3	52	83	49	40	43	57	50	81	25	46	67	77	76	78	49	49	15	94	58	25	54	32	46	35	67	17	11	
72	37	49	39	18	71	12	99	90	90	79	49	65	32	64	53	84	30	57	48	44	50	46	84	27	92	96	36	27	10	58	69	72	88	16	80	61	75	97	87	46	83	3	1	37	86	49	17	24	74	
96	25	22	65	27	89	90	67	10	88	90	34	29	88	72	77	89	97	17	24	30	24	60	18	88	44	75	11	8	44	11	7	87	83	91	36	98	18	26	75	38	58	99	51	79	63	19	83	40	87	
65	58	91	37	53	40	54	6	1	59	85	83	76	33	33	67	53	14	4	29	16	63	1	94	74	2	93	47	81	84	49	88	81	90	40	68	19	46	75	2	83	7	55	47	73	56	42	58	6	26	
73	96	13	29	79	30	83	51	87	63	48	59	3	77	35	11	20	70	18	87	85	38	36	59	26	13	76	82	31	78	44	77	13	5	39	23	9	92	34	92	10	93	27	90	99	70	95	90	59	15	
84	62	76	8	16	46	38	22	80	18	25	86	55	48	17	58	87	46	88	94	85	42	45	86	48	61	39	21	20	71	64	83	20	25	96	95	28	24	65	81	97	73	55	81	24	97	62	70	20	52	
67	38	37	49	6	55	61	57	36	24	68	75	28	73	99	78	53	72	23	79	14	58	64	58	63	3	30	58	5	69	71	45	58	16	37	83	42	76	35	62	7	13	90	98	26	96	64	78	11	99	
93	20	23	86	34	85	95	29	47	41	88	100	44	82	29	9	78	43	33	90	61	67	80	58	35	16	15	77	30	32	93	28	79	84	64	64	83	68	8	75	46	34	34	19	14	70	8	87	96	55	
92	1	48	59	90	71	44	79	36	55	80	98	79	98	66	35	43	53	6	21	66	97	91	1	50	98	24	69	77	9	75	69	66	78	27	31	79	3	56	13	11	84	70	86	8	38	85	62	97	79	
20	61	40	89	43	82	27	22	90	90	80	24	43	66	33	53	50	73	97	42	4	23	47	31	24	58	76	65	11	82	97	31	61	8	8	85	59	94	35	91	96	94	17	68	74	49	6	23	88	82	
3	16	16	89	33	79	37	27	36	86	66	38	45	63	84	80	59	57	89	31	32	18	98	97	44	67	85	49	29	50	32	52	63	93	16	68	40	21	74	58	100	96	15	1	78	94	67	100	87	19	
80	63	53	31	21	64	78	38	42	26	80	58	95	80	50	80	24	92	22	69	72	68	37	82	72	66	65	4	8	90	94	19	73	36	21	72	61	12	92	84	53	63	69	35	8	66	46	20	53	73	
18	45	37	24	76	15	92	56	7	40	22	75	92	49	7	74	40	96	84	9	17	100	74	71	39	36	24	9	41	100	14	96	46	88	44	46	100	61	79	20	39	12	49	80	98	38	13	76	94	74	
28	76	42	66	4	89	66	76	16	12	30	43	12	24	10	49	41	5	54	70	79	35	29	94	46	35	38	53	18	19	54	88	98	86	14	56	89	80	58	38	78	79	21	10	48	98	95	94	45	23	
37	83	87	3	75	25	91	68	47	1	47	56	73	38	73	60	38	29	19	35	58	66	22	13	24	4	16	33	70	4	42	76	8	31	39	53	13	6	84	9	66	29	18	16	84	34	99	75	76	35	
30	72	40	70	83	23	62	65	8	23	87	72	92	88	83	34	21	41	6	4	42	92	45	22	44	5	5	4	94	57	48	13	5	34	10	22	15	16	62	74	10	36	79	6	21	37	37	98	60	49	
53	49	6	50	42	5	34	6	37	87	47	84	33	92	68	93	9	61	92	1	61	49	5	18	63	29	28	52	2	22	31	85	87	35	35	19	20	39	93	78	64	37	16	85	66	87	93	45	9	88	
8	91	3	48	69	92	39	77	81	13	67	93	54	86	71	22	9	36	54	29	20	57	51	23	29	42	41	5	96	13	17	68	80	98	40	67	74	57	90	100	20	52	80	85	94	12	3	31	28	39	
24	16	11	55	48	27	87	88	9	40	40	48	70	31	43	36	31	44	88	88	81	62	54	54	47	63	60	53	11	50	13	70	18	79	55	61	85	45	57	7	80	77	33	27	40	71	51	22	43	52	
74	38	60	42	61	52	30	81	8	24	59	28	5	69	34	40	38	40	79	88	80	35	21	89	28	53	30	45	81	73	54	7	90	35	58	32	93	34	50	81	40	66	42	81	64	79	75	55	41	34	
