100
5
5
37	54	28	11	65	
45	85	1	5	64	
97	52	75	37	94	
90	79	36	55	90	
54	78	27	55	33	
69	16	19	83	41	
12	92	62	62	24	
29	82	76	58	24	
47	28	78	75	10	
21	2	70	57	47	
60	48	24	27	21	
45	34	12	29	83	
5	48	23	55	14	
6	20	44	71	81	
41	81	84	41	86	
38	44	50	11	82	
35	12	96	14	7	
69	40	15	78	36	
74	15	60	79	33	
83	86	41	69	62	
31	61	64	88	2	
39	59	54	54	48	
17	21	28	78	12	
29	71	94	10	88	
17	22	73	27	82	
50	35	64	43	28	
58	81	64	76	34	
8	41	63	9	3	
56	53	67	70	99	
27	18	12	98	70	
88	12	51	9	60	
7	24	56	83	50	
89	16	78	66	35	
98	52	34	32	38	
69	93	43	25	83	
73	44	71	7	22	
22	86	61	60	69	
82	9	4	5	44	
85	83	17	15	9	
48	37	36	28	89	
18	42	38	27	47	
6	46	60	23	14	
3	13	79	31	24	
19	28	66	96	14	
12	95	28	74	33	
57	23	84	60	70	
34	67	95	19	99	
83	59	43	38	15	
71	75	23	37	96	
94	90	51	56	23	
30	66	30	37	27	
54	88	60	61	15	
39	68	31	75	37	
32	50	34	72	99	
11	30	1	8	8	
64	70	46	54	41	
39	18	84	27	41	
45	53	22	52	43	
39	1	57	84	66	
41	34	16	37	16	
8	82	39	50	37	
34	41	49	63	97	
53	84	71	64	86	
84	64	41	31	16	
56	66	3	45	46	
48	97	72	88	34	
63	71	24	22	85	
29	17	26	16	59	
79	37	80	61	29	
22	29	72	82	29	
67	24	61	47	30	
89	97	66	63	51	
81	6	72	99	49	
25	83	65	53	72	
32	40	93	31	69	
70	36	74	41	51	
15	67	21	88	11	
45	53	82	37	98	
38	68	87	23	63	
58	20	76	59	80	
35	36	80	84	81	
50	30	31	3	86	
56	95	20	77	55	
41	92	90	90	74	
81	57	68	10	43	
40	75	31	16	93	
94	92	31	57	98	
51	94	11	25	24	
33	28	22	49	62	
13	65	66	13	50	
70	9	69	50	68	
26	23	61	97	65	
34	30	94	59	69	
11	63	1	59	17	
29	86	23	70	49	
87	30	48	15	29	
1	61	45	26	70	
43	28	92	68	46	
12	92	40	79	53	
52	10	69	49	66	
