300
60
57	55	47	21	10	37	78	34	56	71	89	63	84	73	77	5	41	46	10	9	74	3	79	74	37	71	21	83	73	20	81	1	34	27	53	91	96	73	17	47	85	54	28	4	24	4	67	12	53	13	40	79	8	66	72	93	24	23	57	16	
34	37	48	78	65	76	4	37	38	93	14	69	50	46	76	5	76	86	18	38	31	61	44	63	60	82	83	14	75	73	67	20	38	94	43	98	51	2	20	50	36	94	94	19	74	56	15	41	62	98	56	3	8	46	42	58	55	44	26	95	
23	66	6	50	97	44	54	98	9	69	72	81	82	19	13	46	46	13	21	97	37	13	84	8	32	95	9	19	1	93	43	30	61	65	28	70	64	31	48	95	68	16	86	40	56	55	47	33	19	65	76	65	96	97	82	38	65	8	68	57	
98	16	99	40	50	53	90	51	30	96	67	91	72	50	38	91	28	37	4	96	8	81	64	44	78	18	7	61	83	49	96	43	37	43	91	83	12	36	52	70	23	76	32	70	80	50	54	60	56	44	14	84	92	51	66	40	54	31	89	28	
76	59	23	6	93	51	38	51	35	36	70	14	14	3	37	98	63	62	14	28	86	99	37	77	20	84	70	70	39	91	39	70	50	45	27	29	36	62	86	65	70	99	9	77	9	2	56	26	9	8	48	35	56	73	58	91	95	10	62	57	
84	51	42	7	21	86	40	59	19	43	11	81	34	90	30	61	56	96	37	85	16	73	38	78	91	80	88	72	94	79	31	32	82	52	60	34	22	32	44	95	87	8	11	87	5	95	96	75	41	5	6	92	99	19	18	14	6	81	68	1	
52	62	66	31	64	37	34	36	98	2	73	98	76	12	14	6	27	20	77	38	88	40	65	45	88	75	72	54	3	80	61	88	69	50	61	4	97	39	76	75	13	84	15	85	8	60	72	90	8	89	37	74	63	9	92	25	25	40	38	71	
76	30	59	81	11	53	8	3	92	91	80	1	38	40	6	31	95	1	67	27	20	50	47	17	68	16	44	94	65	85	4	93	7	26	79	57	5	4	2	89	95	19	16	42	63	99	34	67	40	27	5	35	97	69	77	7	46	59	52	1	
79	50	9	8	65	9	69	27	44	53	39	35	95	43	26	12	91	63	42	85	32	78	17	69	42	33	99	92	77	34	24	73	53	46	45	58	13	65	96	36	87	74	18	17	17	81	34	7	39	3	21	35	49	40	63	13	17	49	87	32	
82	30	44	25	85	54	55	47	96	29	62	59	54	58	37	21	25	45	36	5	36	58	14	20	62	40	31	84	50	46	18	88	22	31	75	50	87	26	34	35	55	75	89	8	30	20	99	39	23	43	10	67	28	42	18	5	27	55	33	35	
34	70	66	35	93	17	56	28	86	82	27	39	16	29	28	23	63	89	7	73	55	77	4	39	73	35	77	12	90	4	7	48	24	90	12	50	35	63	99	17	25	17	32	35	94	56	57	79	68	23	64	32	3	45	47	47	46	90	93	22	
89	53	20	41	40	94	34	23	22	42	97	62	56	90	98	57	97	71	80	86	21	91	75	33	87	41	45	2	32	31	15	70	47	15	63	63	68	92	16	49	72	19	19	88	50	36	28	96	17	33	28	83	63	91	50	1	69	54	77	94	
33	48	42	53	78	43	57	95	55	14	39	31	39	53	6	7	89	56	71	3	38	44	57	45	1	36	96	66	48	66	3	2	63	7	30	24	84	40	47	53	14	6	88	80	17	5	80	9	71	26	33	81	32	55	53	77	3	59	25	70	
61	59	54	81	52	38	83	92	59	54	4	85	21	40	51	18	38	23	40	67	7	86	68	97	60	60	24	20	3	18	47	61	86	7	44	75	44	48	56	29	82	75	27	71	16	7	15	67	74	57	59	42	22	54	85	75	73	98	9	43	
98	84	77	95	41	77	58	7	95	9	59	58	24	43	41	25	5	15	69	66	38	48	87	72	55	11	41	94	11	57	69	54	51	57	31	35	79	39	60	82	77	66	49	66	43	40	98	91	56	95	4	56	78	35	52	82	60	13	47	92	
3	64	95	88	86	50	24	52	96	50	91	92	75	35	38	94	88	92	77	52	2	1	13	86	84	50	57	76	6	84	63	65	64	97	6	18	94	1	75	27	27	67	69	9	89	98	89	42	96	76	82	18	38	1	90	17	85	23	83	44	
70	20	5	68	4	76	42	45	28	64	5	44	42	42	86	86	34	14	16	67	94	9	45	32	27	87	31	12	47	77	87	58	53	86	36	12	17	69	73	7	7	18	34	2	55	21	13	65	34	6	82	86	97	55	24	73	92	73	32	46	
76	31	2	71	61	19	72	65	87	86	97	71	11	59	85	99	16	45	95	63	34	70	9	72	9	23	2	51	25	90	93	2	19	1	37	22	19	23	82	56	91	85	37	40	86	6	84	49	14	52	58	86	87	73	61	56	23	69	91	11	
76	90	15	66	58	94	79	29	64	75	86	70	89	68	40	48	45	94	57	69	79	75	99	20	66	52	62	27	22	91	31	25	63	48	98	39	20	18	92	96	49	23	54	49	35	83	83	63	59	84	31	86	80	40	97	33	52	14	81	31	
76	38	83	5	67	55	47	24	64	71	16	10	40	82	9	95	68	23	70	84	68	52	35	33	23	72	4	78	45	34	43	73	49	96	39	91	35	25	67	33	94	51	65	37	16	42	25	66	21	26	29	45	74	98	99	51	54	88	47	91	
55	62	23	17	89	6	17	58	73	92	64	88	51	48	34	30	70	58	28	77	11	76	15	11	42	41	59	91	58	3	36	88	11	15	47	80	34	45	60	14	57	11	46	18	13	48	90	22	13	59	95	5	46	2	11	80	4	19	45	10	
60	25	50	70	49	80	93	44	13	41	39	96	23	54	24	58	99	33	81	31	65	44	56	79	25	77	26	85	53	92	94	73	24	58	51	22	27	17	91	43	42	66	51	80	73	19	8	53	68	80	29	56	63	81	90	90	34	23	94	90	
49	42	45	53	51	3	73	8	12	54	23	69	27	38	20	70	73	19	12	54	18	62	32	79	58	9	30	86	47	3	78	91	13	67	33	31	83	53	30	76	84	90	20	77	63	19	95	6	51	89	49	21	81	45	66	68	13	37	59	73	
31	27	67	19	32	88	2	94	2	1	9	61	43	95	68	73	35	17	54	56	3	87	36	22	36	93	84	68	6	44	13	13	38	51	75	35	58	47	90	42	25	30	76	75	97	9	2	27	16	84	99	28	84	87	90	32	95	65	15	12	
31	80	77	27	11	77	44	35	4	4	43	76	12	22	73	18	73	40	10	62	67	20	62	55	18	86	31	34	14	13	62	13	93	67	91	93	80	50	42	49	50	39	6	9	61	54	19	67	7	69	31	61	40	68	97	10	89	1	79	19	
81	86	9	68	15	93	44	50	69	61	63	36	38	57	24	61	9	95	9	87	52	49	54	65	75	18	88	93	49	67	57	85	31	30	13	56	29	22	78	91	86	48	30	89	75	78	45	60	31	16	14	25	75	97	25	72	3	3	46	41	
10	44	88	41	32	82	9	39	85	80	85	69	31	91	89	39	33	46	20	41	42	75	83	7	58	9	34	39	39	3	5	21	51	9	97	98	94	78	10	63	46	73	11	94	90	21	17	41	46	22	99	47	96	32	41	45	94	42	27	78	
93	44	28	35	14	58	14	82	67	49	3	55	88	71	51	33	43	7	12	89	13	89	36	30	87	38	87	35	93	30	3	64	62	95	6	15	5	11	62	20	38	19	52	27	3	17	52	13	53	68	3	10	98	53	83	49	46	42	3	52	
78	75	8	24	31	73	52	30	93	6	76	51	32	10	98	71	94	21	15	16	76	69	44	58	28	35	98	69	45	88	40	57	85	50	43	47	74	39	11	76	16	1	85	21	17	36	62	64	83	67	88	84	58	17	15	28	93	79	39	67	
